1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
 , , , , , , , , , , , , , , , , , , , , ,47, 
 , , , , , , , , , , ,99.4, , , , , , ,98.8, , ,98.8, 
 , , , , , , , , , , , ,90.1, , , ,91.8, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,72.2, , , , , , , , , , ,73
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,98.3, , , , , , , , , ,98.9, , , , , , , , , , ,99.2
 , , , , , , , , , , ,99.8, , , , , , , , , , , 
 , , , , , , , , , ,99, , , , , , , , , ,99.1, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , ,99.9, , , , , , , ,100, ,100,100,99.9,99.9
 , , , , , , , , , , , , , , , , , , , , , , 
 ,96.9, , , , , , , , , ,97, , , , , , , , ,98.2, , 
 ,44.7, , , , , , , , , ,63.6, , , , , , , , , , ,79.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , ,99.8, , , , , , , , , ,99.8, , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,76.4, , , , , , , , , , , , , , , , , , , , , 
 , ,39.9, , , , , , , , , ,45.3, , , ,42.4, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , ,74.4, , , , , , , 
 , ,93.9, , , , , , , , ,97.3, , , , , ,99.4,99.1,99.4, ,99,99
 , , , , , , , , , ,99.8, , , , , , , , , , , ,99.7
 ,89.3, , , , , , , , , , , ,94, , , , , , , , ,96
 , , , , , , , , , ,94.2, , , ,96.8, ,97.6,97.8,97.8,98.1,97.5,98.5,98.6
 , , , , , , , , , , , , , , , , , , , , , , 
 ,98.1, , , , , , , , , ,98.9, , , , , , , , , , ,99.8
 , , , , , , , , , , ,98.2, , , , , , , , , ,97.9, 
 ,20.2, , , , ,19.4, , , , , , ,31.2, ,33,32.7,39.3, , , , , 
53.6, , , , , , , , , ,73.3, , , , , , , ,88.9, , , , 
 , , , , , , , ,76.3, , , , , ,83.4, , , ,87.5,87.1, , , 
 , , , , , , , , , ,83.1, , , , , , ,83.1, , ,80.6, , 
 , , , , , , , , , , , , , , , , , , , , , , 
88.2, , , , , , , , , , , , , ,97.1, , , , , , , ,98.1
 , , , , , , , , , , , , , , , , ,98.9, , , , , 
 , , , , , , , , , ,60.8, , , , , , , , , ,36.4, , 
 , , ,17.3, , , , , , ,37.6, , , ,41.7, , , , , , , ,48.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , ,98.4, , , , , , , , , ,99, , , , , ,99.2,98.9, , , 
94.3, , , , , , , , , ,98.9, , , , , , , , , ,99.6, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,99.6, , , , ,99.6, , , , , , 
 , , ,90.5, , ,97, , , , , , , ,98,98,97.9,98,98,97.9,98.1,98.2, 
 , , , , , , , , , ,80.2, , , , , , , , , , , ,86.4
 , , , , , , , , , , , , , , , , , , , , ,80.9, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,97.6, , , , , , , , , , ,99.1, 
 , , , , , , , ,47.1, ,60.7, , , , , , , , , , , ,48.3
 ,99.6, , , , , , , , , ,99.6, , , , , , , , , ,99.7, 
 , , , , , , , , , , , ,100, , , , , , , , , ,100
 , ,99.6, , , , , , , , ,99.8, , , , , , , , , ,99.8, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,70.4, , , , , ,65.8, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , ,94.2, , , , ,95.8, , ,96.8,97,97
96.2, , , , , , , , , , ,96.4, , , , , ,95.4, ,96.8,98.7,98.7,98.8
 , , , , , ,73.2, , , , , , , , ,84.9,84.9, , , ,87.5, ,89.3
 , ,84.9, , , , , , , , , , , ,92.2, ,95,93.6,96,95,96,96.5, 
 , , , , , , , , , ,97.1, , , , , , , , , , , ,98.1
 , , , , , , , , , , , ,77.9, , , , , , , , , ,91
 , , , , , , , , , ,99.8, , , , , , , , , , ,99.9, 
 , , , ,33.6, , , , , , , , , ,49.9,44.6, ,55, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , ,93.2, , , , , , , , , , ,90.9, , , , , , , ,88.5
 , , , , , , , , , ,52.6, , , , , , , , , , , ,69.4
 , , , , , , , , , , , ,99.8, , , , , , , , , ,99.8
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,70.7, , , , , , , , , ,85.7, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,99, , , , , , , , , ,98.9, , , , , , , , , , ,99.4
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,99.6, , , , , , , , , ,99.9, , , , , , , ,99.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,76, , , , , , , ,82.2, , , , , , , , , ,93.7
 , , , , , ,27.7, , , , , , ,47.1, , , , , , ,31.4, , 
 , , , , , , , , , ,59.5, , , , , , , , , , , ,74.3
 , , , , , , , , , , , , , , , , , , ,93.1, , , 
 , , , , , , , , , , , , ,81.6, , ,72.3, , , , , , 
 , , , , , , , , , , ,88.9, , , , , ,93.9, , ,95.2,95.9,95
 , , , ,99.1, , , , , , , , , ,99, , , , , , , ,99.4
 , , , , , , , , , , , , , , , , , , , , , , 
 ,61.9, , , , , , , , , ,76.4, , , , ,81.1, , , , , , 
96.2, , , , , , , , , , , , , ,98.7, ,96.7, ,99.5,99.5, ,98.8, 
 ,87, , , , ,93, , , , , ,93, , ,97.4,96.6, ,98.7, , , ,98
 , , , , , , , , , ,84.8, , , , , , , , , , , ,82.2
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,99.5, 
 , , , , , , , , , , ,99.8, , , , , , , , , , ,99.9
 , , , , , , , , ,91.6, , , , , , , , , , , , ,95.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,99.1, ,99, ,98.9, , ,98.8,99.1,99.1
 , , , , , , , , ,99.8, , , , , , , , , ,99.8, , , 
 , , , , , , , , , ,92.5, , , , , , ,82.4, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , ,100, , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,92, , , , , , , , , ,99.7,98.5,98.4,98.6, , , ,98.8
 , , , , , , , , ,99.7, , , , , , , , , ,99.8, , , 
 , , , , ,71.1, , , , ,80.6,78.5, , , ,83.9, , , , , , , 
 , , , , , , , , , ,99.8, , , , , , , , , , ,99.8, 
 , , , , , , , , , , , , , , , , ,98.7, , , , , 
 , , , , , , , , , ,90.9, , , , , , , , ,83.2, , , 
 , , , ,60, , , , , , , , , ,49.2, , ,49.1, , , , , 
 , , , ,89.3, , , , , , , , , ,99.6, , , , , , , ,99.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,99.7, , , , , , , , , ,99.9, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,70.2, , , , , , , , ,64.9, , , 
 , , , , , , , ,76, , , , , , , , , , , ,72.1, , 
 ,95.6, , , , , , , , ,97.2, , , , , , , , , ,98.4, , 
 , , , , ,98.2, , , , ,98.2, , , , , ,99.3, , , , , , 
 , , , , , , , ,24.2, , , , ,30.5, , ,38.8, , , ,44.3,47.1, 
 , , , , ,96, , , , , , , , , ,98.3, , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,99.5, , , , , , , , , ,99.5, , , , , , , ,99.9
 , , , , , , , , , ,61.3, , , , , , ,56.1, , , , , 
91.2, , , , , , , , , ,94.5, , , , , , , , , , ,98.1, 
 , , , , , , , , , , , , , , , , , , , , , , 
95.4, , , , , , , , , ,96.6, ,97.6, ,97.6,97.6,97.9,98.2,98.4,98.5,98.4,98.5,98.9
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,97.7, , , , , , , , , ,98.5, , 
 , , , , , , , , , , , , , , , , , , , , ,99.2, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,58.4, , , , , , , , , ,70.5, , , ,77.9,79.5, ,81.5, 
 , , , , , , ,47, , , , , ,61.9, , , , , ,67.1, , , 
 , , , , , , , , , ,94.6, , , , , , , , , , , ,96
 ,88.1, , , , , , , , , ,92.3, , , , , ,87.1, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,49.6, , , , , , , , , ,70.1, , , , , , , , , ,82.4, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , ,97, , , , , , , , , , , , , , , , , , , , 
 , , , , , ,99.1, , , , , , , , , , , , , , , ,99.6
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,86.2, , , ,87, , , , , , , 
 , , , , , , , , , , ,19.8, , , ,36.5, , , , , , ,23.5
 ,71.2, , , , , , , , , , , ,69, , , , ,66.4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,97.3, , , , ,97.6, ,97.7, , 
 , , , , , , , ,55.3, , , , , , ,65.1,69.2, ,71.1,70.7,71.3,70.8, 
 , , , , , , , , , , , , , , , , , , , , , , 
95.1, , , , , , , , , ,96.1, , , , , , , , , ,97.6, , 
 , , , , , , , , , ,66.7, , , , , , , , , , , ,71.2
 , ,95.6, , , , , , , , , , , , , , ,98.8,98,98.5,98.6, , 
 , , ,95.4, , , , , , , , , , ,96.8,97.1,97.8,97.4, , , , ,98.7
96.6, , , , , , , , , ,95.1, , ,95.1, , , , ,97.8, , , , 
 , , , ,100, , , , , , , , , ,100, , , , , , , ,100
 ,99.2, , , , , , , , , , , , , , , , , , , ,99.4, 
93.2, , , , , , , , , , , , , ,88.7, , , , , ,98.8, , 
 , , , , , , ,94.8, , , , , , ,95.9, , ,99.1,95.7,97.8,96.8,97.9,99.1
 , , , , , , , , , ,99.5, , , , , , , , , , , ,100
 , , , ,98.7, , , , , , , , , ,98.7, , , , , , , ,99.8
 , ,99.1, , , , , , , , , ,97.8, , , , , , , , ,99, 
 , , , , , , , , , , , ,99.7, , , , , , , ,99.7, , 
 ,74.9, , , , , , , , ,77.6, , , , , , , , , ,77.3, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,99, , , , , , , , , , , , ,99.4, , , , , , , ,99.5
 , , , , , , , , , , , , , , , , , , , , , , 
 ,93.8, , , , , , , , , ,95.4, , , , , , ,80.2, , , , 
 , ,87.9, , , , , , , ,95.9, , , ,95.8, , , , , , , , 
 , , , , , , , , , , , ,49.1, , , ,50.9, , ,65, ,66, 
 , , , , , , , , , , , , , , , , , , , , , ,99.3
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,98.8, , , , , , , ,99.1, , , , , , , , , ,99.1
 , , , , , , , , , , , , , ,47.9, , , , , , , ,62.7
99, , , , , , , , , ,99.5, , , , , , , , , ,99.8,99.8,99.8
 , , , , , , , , , , , , , , , , , , , , , , 
 ,99.8, , , , , , , , , , , , ,99.8, , , , , , , ,99.9
 , , , , , , , , ,85, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , ,93.9, , , , , , , , , , ,97.6, ,98.4,98.6,98.8,98.9
 , , , , , , , , , , , , , , , , , , , , , , 
 ,99.6, , , , , , , , , , , , , ,99.5, ,99.6,99.6,99.6,99.6,99.7,99.7
 , , , , , , , , , , ,95.6, , , , ,97.5, ,98, ,98.2, , 
 , , , , , , ,97, , , , , , ,98.9, ,99.1,99.1,99.2,99.2,99.2,99.3,99.3
 , , , , , , , , , ,78.2, , , , , , , , , , , ,87.9
 , , , , , , , , , ,78.2, , , , , , , , , , , , 
 , , , , , , , , , , , , , ,94.9, , , ,99.4, ,98.4, , 
 , , , , , , , , , ,91.9, , , , , , , , , ,93.5, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , ,95.2, ,92.5, , , , , , , ,95.6
 , , , , , , , , , ,99.8, , , , , , , , , , , ,99.9
 , , , , , , , , , ,98, , , , ,98.1, , , , ,96.6, , 
 , , , ,98.9, , , , , , , ,98.7, , , , , , , , , ,98.6
 , , , , , , , , , , , , , , , , , , , ,79.5, , 
 , , , , , , , , , ,74.4, , , , , ,76.5, , ,81.7, ,79.9, 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , ,99.3, , , , , , , , , ,99.4, , , , ,99.4, 
99.3, , , , , , , , , , , , , ,99.5, , , , , , , ,99.6
 , , , ,82.8, , , , , , , , , ,94.3, , ,96.3,96.8, ,97.2,97.3, 
92.5, , , , , , , , , , , , , ,95.6,96.1,96.2,96.4, ,97.8,98.2,98.7,99
 , , , , ,99.8, , , , , , , , , , , , , , , , ,99.8
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 ,69.8, , , , , , , , , , ,80.8, , , ,84.1, , , ,87.4, , 
 , , , , , , , , , , ,99.8, , , , , , , , , , ,99.8
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , ,95, , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , ,78.4, , , , , , , ,74.6, , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , ,98.6, , , , , , , , , ,98.7,98.8,99,99,98.8,98.9,99
 , , , , , , , , , ,99.9, , , , , , , , , , , ,99.9
 , , , ,86.3, , , , , , , , , ,92, , , , , , , ,94.9
95.4, , , , , , , , , , ,97.2, , , , , ,98.4, ,98.5, , , 
 , , , , , , , , ,93.9,94.8, , , , , , , , ,97.1, , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,60.2, , , , , , , , , ,76.9, , , , , , , ,87.4
 , , , , , , , , , , , , , , , , , , , , , , 
66.4, , , , , , , , ,69.5, , ,69.1, , , , ,64, , , , , 
 , ,95.4, , , , , , , , , , , , , , , , , , ,90.9, 