2000,2004,2008,2012
 , , , 
 , ,98.8, 
 , , , 
 , , , 
 , , , 
 , , ,73
 , , , 
 , , , 
 , , ,99.2
 , , , 
99, , , 
 , , , 
 , , , 
 , , ,99.9
 , , , 
 , , , 
 , , ,79.9
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , ,99.1,99
99.8, , ,99.7
 , , ,96
94.2,96.8,97.8,98.6
 , , , 
 , , ,99.8
 , , , 
 , , , 
73.3, ,88.9, 
 ,83.4,87.5, 
83.1, , , 
 , , , 
 ,97.1, ,98.1
 , , , 
60.8, , , 
37.6,41.7, ,48.9
 , , , 
 , ,99.2, 
98.9, , , 
 , , , 
 , , , 
 ,98,98, 
80.2, , ,86.4
 , , , 
 , , , 
97.6, , , 
60.7, , ,48.3
 , , , 
 , , ,100
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , ,97
 , , ,98.8
 , , ,89.3
 ,92.2,96, 
97.1, , ,98.1
 , , ,91
99.8, , , 
 ,49.9, , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 ,90.9, ,88.5
52.6, , ,69.4
 , , ,99.8
 , , , 
70.7, , , 
 , , , 
 , , ,99.4
 , , , 
 , , , 
 ,99.9, ,99.9
 , , , 
 , , ,93.7
 , , , 
59.5, , ,74.3
 , , , 
 , , , 
 , , ,95
 ,99, ,99.4
 , , , 
 , , , 
 ,98.7,99.5, 
 , ,98.7,98
84.8, , ,82.2
 , , , 
 , , , 
 , , ,99.9
 , , ,95.9
 , , , 
 , , ,99.1
 , , , 
92.5, , , 
 , , , 
 , ,100, 
 , , , 
 , ,98.6,98.8
 , , , 
80.6, , , 
99.8, , , 
 , , , 
90.9, , , 
 ,49.2, , 
 ,99.6, ,99.9
 , , , 
 , , , 
 , , , 
70.2, , , 
 , , , 
97.2, , , 
98.2, , , 
 , , , 
 , , , 
 , , , 
 ,99.5, ,99.9
61.3, , , 
94.5, , , 
 , , , 
96.6,97.6,98.4,98.9
 , , , 
 , , , 
97.7, , , 
 , , , 
 , , , 
 ,70.5,77.9, 
 , , , 
94.6, , ,96
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , ,99.6
 , , , 
 , , , 
 , , ,23.5
 , ,66.4, 
 , , , 
 , , , 
 , , , 
 , ,97.6, 
 , ,71.1, 
 , , , 
96.1, , , 
66.7, , ,71.2
 , ,98, 
 ,96.8, ,98.7
95.1, ,97.8, 
 ,100, ,100
 , , , 
 ,88.7, , 
 ,95.9,95.7,99.1
99.5, , ,100
 ,98.7, ,99.8
 , , , 
 , , , 
77.6, , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 ,99.4, ,99.5
 , , , 
 , ,80.2, 
95.9,95.8, , 
 , , , 
 , , ,99.3
 , , , 
 , , ,99.1
 ,47.9, ,62.7
99.5, , ,99.8
 , , , 
 ,99.8, ,99.9
 , , , 
 , , , 
 , , ,98.9
 , , , 
 , ,99.6,99.7
 , ,98, 
 ,98.9,99.2,99.3
78.2, , ,87.9
78.2, , , 
 ,94.9,99.4, 
91.9, , , 
 , , , 
 , , , 
 ,92.5, ,95.6
99.8, , ,99.9
98, , , 
 , , ,98.6
 , , , 
74.4, , , 
 , , , 
 , , , 
 ,99.5, ,99.6
 ,94.3,96.8, 
 ,95.6, ,99
 , , ,99.8
 , , , 
 , , , 
 , , , 
 , , ,99.8
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , ,99,99
99.9, , ,99.9
 ,92, ,94.9
 , , , 
94.8, , , 
 , , , 
 , , , 
 ,76.9, ,87.4
 , , , 
 , , , 
 , , , 